author,content
刘过,"销薄春冰，碾轻寒玉，渐长渐弯。
见凤鞋泥污，偎人强剔，龙涎香断，拨火轻翻。
学抚瑶琴，时时欲翦，更掬水鱼鳞波底寒。
纤柔处，试摘花香满，镂枣成班。
时将粉泪偷弹。
记绾玉曾教柳傅看。
算恩情相著，搔便玉体，归期暗数，画遍阑干。
每到相思，沈吟静处，斜倚朱唇皓齿间。
风流甚，把仙郎暗掐，莫放春闲。"
史浩,"吾皇睿哲。
廷有真三杰。
同向清时扬茂烈。
掩迹皋陶夔契。
联镳忽访山樊。
凉生花底清尊。
太史明朝日奏，台星皆聚柴门。"
王沂孙,"孤峤蟠烟，层涛蜕月，骊宫夜采铅水。
讯远槎风，梦深薇露，化作断魂心字。
红瓷候火，还乍识、冰环玉指。
一缕萦帘翠影，依稀海天云气。
几回娇半醉。
翦春灯、夜寒花碎。
更好故溪飞雪，小窗深闭。
荀令如今顿老，总忘却、樽前旧风味。
谩惜馀熏，空篝素被。"
丘,"罗袖薄。
玉臂镂花金约。
起晚欠伸莲步弱。
倚床娇韵恶。
独自青楼珠箔。
怎向日长花落。
门掩东风春寂寞。
误人喜鹊。"
沈端节,"旧家元夜，追随风月，连宵欢宴。
被那懑、引得滴流地，一似蛾儿转。
而今百事心情懒。
灯下几曾看。
算静中、唯有窗间梅影，合是幽人伴。"
戴复古,"渔父饮，不须钱。
柳枝斜贯锦鳞鲜。
换酒却归船。"
王安石,"归依众，梵行四威仪。
愿我遍游诸佛土。
十方贤圣不相离。
永灭世间痴。"
吴潜,"家山好，好处是秋来。
绿橘黄橙随市有，岩花篱菊逐时开。
管与付尊。
新筑就，别馆共闲台。
摇手出离名利窟，掉头摆脱簿书堆。
只在念头灰。"
欧阳修,"十月小春梅蕊绽。
红炉画阁新妆遍。
鸳帐美人贪睡暖。
梳洗懒。
玉壶一夜轻澌满。
楼上四垂帘不卷。
天寒山色偏宜远。
风急雁行吹字断。
红日晚。
江天雪意云撩乱。"
周邦彦,"迤逦春光无赖，翠藻翻池，黄蜂游阁。
朝来风暴，飞絮乱投帘幕。
生憎暮景，倚墙临岸，杏靥夭斜，榆钱轻薄。
昼永惟思傍枕，睡起无，残照犹在亭角。
况是别离气味，坐来但觉心绪恶。
痛引浇愁酒，奈愁浓如酒，无计消铄。
那堪昏暝，簌簌半檐花落。
弄粉调朱柔素手，问何时重握。
此时此意，长怕人道著。"
吴潜,"衰翁老大脚犹轻。
行到净凉亭。
近日方忧多雨，连朝且喜长晴。
谩寻欢笑，翠涛杯满，金缕歌清。
况有兰朋竹友，柳词贺句争鸣。"
蔡伸,"鸳鸯枕上云堆绿。
兰膏微润知新沐。
开帐对华灯。
见郎双眼明。
锦衾香馥郁。
槛竹敲寒玉。
何物最无情。
晓鸡咿喔声。"
吕胜己,"忆惜西来，春已暮、馀寒犹力。
正迤逦、登山临水，未磋行役。
云笈偶寻高士传，桃川又访秦人迹。
向此时、游宦兴阑珊，归无策。
归计定，归心追。
惊换岁，犹为客。
还怅望、家山千里，迥无消息。
□□不堪泥路远，烟林赖有梅花白。
为孤芳、领略岁寒情，谁人识。"
韩元吉,"幽槛暑。
又是一年重午。
猎猎风蒲吹翠羽。
楚天梅熟雨。
往事潇湘南浦。
魂断画船箫鼓。
双叶石榴红半吐。
倩君聊寄与。"
王以宁,"千古南阳，刘郎乡国，依约楚俗秦风。
英姿豪气，耆旧笑谈中。
佩来从帝所，许洲花、潭菊从容。
霜秋晓，凉生日观，极目送飞鸿。
主公。
天下士，挥豪万字，一饮千锺。
醉高歌起舞，唤醒人龙。
我自人间漫浪，平生事、南北西东。
辞公去，寒眸激电，曾识小安丰。"
赵彦端,"香蔌蔌。
小山丛桂烘温玉。
烘温玉。
酒愁花暗，沈腰如束。
烦君剩与阳春曲。
为君细拂衾罗馥。
衾罗馥。
一春幽梦，与君相续。"
秦观,"愁鬓香云坠，娇眸水玉裁。
月屏风幌为谁开。
天外不知音耗、百般猜。
玉露沾庭砌，金风动灰。
相看有似梦初回。
只恐又抛人去、几时来。"
陈人杰,"世路如秋，万里萧条，君何所之。
想鲈乡烟水，尚堪垂钓，虎丘泉石，尽可题诗。
橙弄霜黄，芦飘雪白，何处西风无酒旗。
经行地，有会心之事，好吐胸奇。
一邱封了要离。
问世上男儿今有谁。
但一尊相属，居然感慨，扁舟独往，可是崎。
齐邸歌鱼，扬州跨鹤，风味浅深君自知。
匆匆去，算梅边春动，又是归期。"
史达祖,"烟光摇缥瓦。
望晴檐多风，柳花如洒。
锦瑟横床，想泪痕尘影，凤弦常下。
倦出犀帷，频梦见、王孙骄马。
讳道相思，偷理绡裙，自惊腰衩。
惆怅南楼遥夜。
记翠箔张灯，枕肩歌罢。
又入铜驼，遍旧家门巷，首询声价。
可惜东风，将恨与、闲花俱谢。
记取崔徽模样，归来暗写。"
姚勉,"江涵石瘦，雪压桥低，森森万木寒僵。
不是争魁，百花谁敢先芳。
冰姿皎然玉立，笑儿曹、粉面何郎。
调羹鼎，只此花馀事，说甚宫妆。
松竹岁寒三友，恨竹汗晋士，松秦皇。
雪魄冰魂，回首世上无香。
西湖有人觅句，但知渠、清浅黄昏。
奇绝处，五更初、横月带霜。"
黄裳,"谁能留得年华住。
韶华今在何处。
万林飞尽，但惊天篆，半空无数。
望消息、霜催雁过，佳人愁起云垂暮。
就绣幕、红炉去。
金鸭时飘异香，柳腰人舞。
休道行且分飞，共乐还一岁，见景长是欢聚。
大来芳意，既与名园，是花为主。
翠娥说、尊前笑语，来年管取人如故。
向寂寞，中先喜，俄顷飞琼，化成寰宇。"
夏元鼎,"万里担簦访道，要知一点灵丹。
日乌月兔在朝元。
岂在迢迢云汉。
罔象求珠易得，离明契后难言。
五金八石是虚传。
争似阳修阴炼。"
苏轼,"定场贺老今何在。
几度新声改。
怨声坐使旧声阑。
俗耳只知繁手、不须弹。
断弦拭问谁能晓。
七岁文姬小。
拭教弹作辊雷声。
应有开元遗老、泪纵横。"
吴泳,"似斜斜，才整整，又霏霏。
今夜里、窗户先知。
嫌春未透，故穿庭树作花飞。
起来寻访剡溪人，半压桥低。
兔园册，渔江画，兰房曲，竹丘诗。
怎模得、似当时。
天寒堕指，问谁能解白登围。
也须凭酒遣拿担，击乱鹅池。"
王千秋,"翠勺银锅飨夜游。
万灯初上月当楼。
溶溶琥珀流匙滑，璨璨珠著面浮。
香入手，暖生瓯。
依然京国旧风流。
翠娥且放杯行缓，甘味虽浓欲少留。"
刘仙伦,"倚空绝壁。
直下江千尺。
天际两蛾凝黛，愁与恨、几时极。
暮潮风正急。
酒醒闻塞笛。
试问谪仙何处，青山外，远烟碧。"
辛弃疾,"细把君诗说。
怅馀音、钧天浩荡，洞庭胶葛。
千尺阴崖尘不到，惟有层冰积雪。
乍一见、寒生毛发。
自昔佳人多薄命，对古来、一片伤心月。
金屋冷，夜调瑟。
去天尺五君家别。
看乘空、鱼龙惨淡，风云开合。
起望衣冠神州路，白日消残战骨。
叹夷甫、诸人清绝。
夜半狂歌悲风起，听铮铮、阵马檐间铁。
南共北，正分裂。"
苏轼,"渔父醒，春江午。
梦断落花飞絮。
酒醒还醉醉还醒，一笑人间今古。"
赵彦端,"忆醉君家倚翠屏。
年年相喜鬓毛青。
谁知缓步从天下，犹许清弹此地听。
挥羽扇，写鹅经。
使星何似老人星。
几时一试薰风手，今日桐阴又满庭。"
张辑,"来翦莼丝，江头一阵鸣蓑雨。
孤篷归路。
吹得苹花暮。
短发萧萧，笑与沙鸥语。
休归去。
玉龙嘶处。
邀月过南浦。"
辛弃疾,"九畹芳菲兰佩好。
空谷无人，自怨蛾眉巧。
宝瑟泠泠千古调。
朱丝弦断知音少。
冉冉年华吾自老。
水满汀洲，何处寻芳草。
唤起湘累歌未了。
石龙舞罢松风晓。"
石孝友,"半千宝运，瑞清朝、诞育人间英物。
暖律吹灰春到也，迟日光腾东壁。
婺女双溪，沈郎八咏，辉映皆冰雪。
储精毓秀，几年一个人杰。
须信和气随人，粉梅欺黛柳，娇春争发。
翠幕重重称寿处，莲炬蕙烟明灭。
鼎席犹虚，九重频念此，衮衣华发。
明年今夜，凤池应醉花月。"
葛长庚,"银月凄凉，绮霞明灭，秋色如此。
露满清襟，风生衰鬓，夜已三更矣。
寻思往事，千头万绪，回首诮如梦里。
指烟霄，不如归去，不知今夕何夕。
鹑衣百结，脂垢腻，犹是小蛮针指。
对酒逢诗，高吟大笑，四海今谁似。
荷亭竹阁，共风同月，此会今生能几。
君须记，去来聚散，只□底是。"
赵长卿,"正金风无露。
玉宇生凉，楚郊无暑。
催起行人，恰槐黄时序。
万里晴宵，几人争睹，快鹏抟一举。
明月圆时，素秋中夜，凌云新赋。
那更渊源，词锋轻锐，笔阵纵横，学通今古。
誉望飞腾，是麟宗文虎。
魁荐归来，华堂香里，与管弦为主。
待看明年，彤墀射策，鳌头独步。"
李流谦,"江涨解网雨，衣润熟梅天。
高人何事，乘兴来寄五湖船。
才听咚咚叠奏，呕轧撸声声齐发，几别故州山。
转盼青楼杪，已在碧云端。
渡头月，临晚霁，泊清湾。
水空天静，高下相应总团。
遥想吾家更好，尽唤儿曹泛扫，欣赏共婵娟。
应念思归客，对此不成眠。"
赵彦端,"爱日。
报疏梅动意，春前呼得。
画栋晓开寿城。
度百和温馨，霜华无力。
斑衣翠袖，人面年年照酒色。
环四座、璧月琼枝，恍然江县拟乡国。
闻道抚、东岩旧迹。
又殊胜、谢家清逸。
知与桃花笑了，定何似青鸟，层城消息。
他年妙高峰上，优昙会堪折。
拥轻轩、未妨游戏，看取朱轮十。"
晏殊,"紫薇朱槿繁开後。
枕簟微凉生玉漏。
玳筵初启日穿帘，檀板欲开香满袖。
红衫侍女频倾酒。
龟鹤仙人来献寿。
欢声喜气逐时新，青鬓玉颜长似旧。"
洪皓,"对金商暮节，此时客、意难忘。
正卉木凋零，蛩韵切，宾雁南翔。
东篱有黄蕊绽，是幽人、最爱折浮觞。
须信凌霜可赏，任他落帽清狂。
茫茫。
去国三年，行万里、过重阳。
奈眷恋庭闱，矜怜幼稚，坠泪回肠。
凭栏处空引领，望江南、不见转凄凉。
羁旅登高易感，况於留滞殊方。"
李纲,"物我本虚幻，世事若俳谐。
功名富贵，当得须是个般才。
幸有山林云水，造物端如有意，分付与吾侪。
寄语旧猿鹤，不用苦相猜。
醉中适，一杯尽，复一杯。
坐间有客，超诣言笑可忘怀。
况是清风明月，如会幽人高意，千里自飞来。
共笑陶彭泽，空对菊花开。"
晁端礼,"火冷灯□山驿静，无人与暖香衾。
阿谁教你惜人深。
一成迷後，不忘有如今。
枕畔耳边都悄悄，忆伊模样声音。
些儿年纪正难禁。
盟言虽在，只恐我痴心。"
惠洪,"半身屏外。
睡觉唇红退。
春思乱，芳心碎。
空馀簪髻玉，不见流苏带。
试与问，今人秀整谁宜对。
湘浦曾同会。
手搴轻罗盖。
疑是梦，今犹在。
十分春易尽，一点情难改。
多少事，却随恨远连云海。"
杨泽民,"李素华曾缟昼。
当年独冠群芳秀。
今日再来眉暗斗。
谁人後。
追思恰似章台柳。
先自病来迟唧溜。
肌肤瘦减宽襟袖。
已是无聊仍断酒。
徘徊久。
者番枉走长亭候。"
周密,"玉沁唇脂，香迷眼缬，肉红初映仙裳。
湘皋春冷，谁翦茜云香。
疑是潘妃乍起，霞侵脸、微印宫妆。
还疑是，寿阳凝醉，无语倚含章。
绛绡，清泪冷，东风寄远，愁损红娘。
笑李凡桃俗，蝶喜蜂忙。
莫把杏花轻比，怕杏花、不敢承当。
飘零处，还随流水，应去误刘郎。"
葛郯,"双锦领出西山。
戎幕护旌旗。
横槊春风百咏，临淮夜月千卮。
风流樽俎，琼花破艳，红药攒枝。
赏尽竹西歌吹，珠帘十里香迷。"
晁补之,"马上匆匆听鹊喜，朦胧月淡黄昏。
碧罗双扇拥朝云。
粉光先辨脸，朱色怎分唇。
暂别宝奁蛛网遍，春风泪污榴裙。
香笺小字寄行云。
纤腰非学楚，宽带为思君。"
王质,"落尽斜阳，尚有些、断霞残影。
甚弯环、东溪西巷，南岩北岭。
行熟更教羊引著，睡浓却被鸦惊醒。
渐孤村、树暗颤山，霜风冷。
人世里，嫌他蠢。
牛背上，输他稳。
但芒鞋一，蓑衣一领。
五脏荒陂蔬荐口，双幽崦花漫顶。
虽云乌、月黑路蒙笼，何曾窘。"
郭应祥,"五马归来，後车载得如花女。
缓歌金缕。
新样京华舞。
主悦宾欢，一醉祛袢暑。
停箫鼓。
且须听取。
三朵花能语。"
曹勋,"西苑烟光倚槛新。
桃花艳艳静无尘。
照溪红映一天云。
肯放落红流出水，且寻歌舞赏明春。
持杯知是洞中人。"
陆游,"锦里繁华。
环宫故邸，叠萼奇花。
俊客妖姬，争飞金勒，齐驻香车。
何须幕障帏遮。
宝杯浸、红云瑞霞。
银烛光中，清歌声里，休恨天涯。"
张榘,"西风乱叶溪桥树。
秋在黄花羞涩处。
满袖尘埃推不去。
马蹄浓露，鸡声淡月，寂历荒村路。
身名多被儒冠误。
十载重来漫如许。
且尽清樽公莫舞。
六朝旧事，一江流水，万感天涯暮。"
张先,"数枝金菊对芙蓉。
零落意忡忡。
不知多少幽怨，和泪泣东风。
人散後，月明中。
夜寒浓。
谢娘愁卧，潘令闲眠，往事何穷。"
葛胜仲,"昏昏雪意惨云容。
猎霜风。
岁将穷。
流落天涯，憔悴一衰翁。
清夜小窗围兽火，倾酒绿，借颜红。
官梅疏艳小壶中。
暗香浓。
玉玲珑。
对景忽惊，身在大江东。
上国故人谁念我，晴嶂远，暮云重。"
张伯端,"悟了莫求寂灭，随缘只接群迷。
寻常邪见及提携。
方便指归实际。
五眼三身四智，六度万行修齐。
圆光一颗好摩尼。
利物兼能自利。"
吴潜,"软风轻霭弄晴晖。
鹁鸠相应啼。
画堂人静画帘垂。
阑干独倚时。
闲拾句，困寻棋。
沈吟心是非。
荼シ开遍柳花飞。
惜春春不知。"
王炎2,"大都四绪阴晴半。
天上油云舒又卷。
若还心也似云闲，老色何由来上面。
生平辛苦今潇散。
得丧荣枯皆历遍。
人言不死是神仙，我但耳闻非眼见。"
陈克,"秋千人散小庭空。
麝冷灯昏愁杀侬。
独有闲阶两袖风。
月胧胧。
一树梨花细雨中。"
黄升,"惜春归。
爱春归。
脱了罗衣著苎衣。
绿阴黄鸟啼。
酒醒时。
梦醒时。
清簟疏帘一局棋。
丁东风马儿。"
魏了翁,"千古峨眉月，照我别离杯。
故人中岁聚散，脉脉若为怀。
醉帽三更风雨，别袂一帘山色，为放笑眉开。
握手道旧故，抵掌论人才。
山中人，灶间婢，亦惊猜。
江头新涨催发，欲去重裴回。
世事丝丝满鬓，岁月匆匆上面，渴梦肺生埃。
酒罢听客去，公亦赋归来。"
刘克庄,"北望神州路。
试平章、这场公事，怎生分付。
记得太行山百万，曾入宗爷驾驭。
今把作、握蛇骑虎。
君去京东豪杰喜，想投戈、下拜真吾父。
谈笑里，定齐鲁。
两河萧瑟惟狐兔。
问当年、祖生去後，有人来否。
多少新亭挥泪客，谁梦中原块土。
算事业、须由人做。
应笑书生心胆怯，向车中、闭置如新妇。
空目送，塞鸿去。"
吴潜,"都会地。
东南盛府堪记。
蓬莱缥缈十洲中，雉城拥起。
凭高一盼大江横，遥连沧海无际。
壁同众山翠倚。
赤龙、白鹞争系。
风帆指顾便青齐，势雄万垒。
越栖吴沼古难凭，兴亡都付流水。
画堂绮屋锦绣市。
是洛阳、耆旧州里。
富贵荣华当世。
问昔年、贺老疏狂，何事轻寄平生、烟波里。"
仲并,"襟韵绝纤尘，炯炯夜光明月。
合是紫荷持橐，侍丹墀清切。
暗香疏影想公家，人与梅超绝。
酒罢帝城早去，占百花先发。"
葛长庚,"苹花零乱秋亭暮。
篱落江村路。
棹歌摇曳钓船归。
搅碎清风千顷、碧琉璃。
山衔初月明疏柳。
平野垂星斗。
莫辞沈醉伴孤吟。
他日江南江北、两关心。"
黄公绍,"银云卷晴缥缈，卧长龙一带。
柳丝蘸、几簇柔烟，两市帘栋如画。
芳草岸、弯环半玉，鳞鳞曲港双流会。
看碧天连水，翻成箭样风快。
白露横江，一苇万顷，问灵槎何在。
空翠湿衣不胜寒，日华金掌沆瀣。
花平、绿文衬步，琼田涌出神仙界。
黛眉修，依约雾鬟，在秋波外。
阁嘘青蜃，楼啄彩虹，飞盖蹴鳌背。
灯火暮，相轮倒影，偷睇别浦，片片归帆，远自天际。
舞蛟幽壑，栖鸦古木，有人翦取松江水，忆细鳞巨口鱼堪。
波涵笠泽，时见静影浮光，霏阴万貌千态。
蒹葭深处，应有闲鸥，寄语休见怪。
倩洗却、香红尘面，买个扁舟，身世飘萍，名利微芥。
阑干拍遍，除东曹掾，与天随子是我辈，尽胸中、著得乾坤大。
亭前无限惊涛，总把遥吟，月明满载。"
李曾伯,"绮阁香销，玉砌梦残，凄凉旧台。
对御沟红叶，一番木落，宫墙黄菊，几度花开。
水溯岷源，山联吴会，目送征鸿安往哉。
都休问，六朝人物，谁拙谁才。
平生衮衮烟尘。
记匹马当年荆蜀淮。
叹雕零殆尽，词源已竭，消磨未去，酒量犹恢。
八跪蟹肥，四腮鲈美，客有可人招不来。
油幢暇，凭栏一笑，相与传杯。"
刘克庄,"怪事广寒殿，此夕不开关。
林间乌鹊相贺，暂得一枝安。
只在浮云深处，谁驾长风挟取，明镜忽飞还。
玉兔呼不应，难觅臼中丹。
酒行深，歌听彻，笛吹残。
嫦娥老去孤另，离别匹如闲。
待得银盘擎出，只怕玉峰醉倒，衰病不禁寒。
卿去我欲睡，孤负此湖山。"
刘克庄,"当年玉立清扬，屋梁落月偏相照。
而今衰飒，形骸百丑，情怀十拗。
久已饰巾、尚堪扶杖，听山东诏。
尽後车载汝，营丘封汝，何必在、溪钓。
晚悟儋书玄妙。
懒从他、锺离传道。
不论资望推排，也做五更三老。
宋玉多悲，唐衢喜哭，好闲烦恼。
问天公，扑断散人二字，赐龟蒙号。"
韩,"西湖十里孤山路。
犹记荷花处。
翠茎红蕊最关情。
不是薰风、吹得晚来晴。
而今老去丹青底。
醉腻娇相倚。
棹歌声缓采香归。
如梦如酲、新月照涟漪。"
张继先,"西源好，春日日初长。
不看人间三月景，常思天上万花香。
幽赏一时狂。
歌笑也，空洞大歌章。
千景净来风谷秀，三云归後月林光。
沈麝似兰香。"
赵长卿,"灯前忍见啼红面。
别酒频斟劝。
愁蛾敛翠不胜情。
报道看看天色、待平明。
殷勤重把阳关唱。
休要教人望。
出门犹自尚叮咛。
厮养频催恰好、趁凉行。"
袁去华,"汉江流入苍烟，戍楼吊古临无地。
清霜初肃，鹰扬隼击，青霄凌厉。
新雁声中，夕阳影里，千崖秋气。
念东篱采菊，龙山落帽，风流在、尚堪继。
引满松醪径醉。
诵坡仙、临漳宵济。
茱萸细看，明年谁健，空悲身世。
儿辈何知，更休说似，登山临水。
那纷纷毁誉，耳边风过，我何曾记。"
洪咨夔,"如此好明月，梅里自来无。
炎云溽雾收尽，宇宙一冰壶。
浅濑乍分随合，清影欲连还断，漾玉浮图。
风物庾楼似，秋思欠菰蒲。
醉魂醒，尘骨换，我非吾。
琼箫紫凤何许，风露足清都。
君看流光多处，缥缈人立，白与藕花俱。
只恐娥妒，凉透粟生肤。"
史浩,"万花如绣。
淑景熏晴昼。
一曲齐称千岁寿。
欢拥两行红袖。
当年西府横翔。
急流稳上仙乡。
笑阅溪日月，行看尚父鹰扬。"
杜安世,"别浦迟留恋清浅。
菱蔓荷花，尽日妨钩线。
向晚澄江静如练。
风送归帆飞似箭。
鸥鹭相将是家眷。
坐对云山，一任炎凉变。
定是寰区又清宴。
不见龙骧波上战。"
仲殊,"南徐好，城里小花山。
淡薄融香松滴露，萧疏笼翠竹生烟。
风月共闲闲。
金晕暗，灯火小红莲。
太尉昔年行乐地，都人今日散花天。
桃李但无言。"
何梦桂,"世事浑无定。
问人间、翻来覆去，阿谁能忍。
海怒惊涛山相拍，选甚鱼龙不任。
看今古、英雄销尽。
坐对青山闲白日，付长江、流送千年恨。
天有意，唯何甚。
待将洗耳泉边枕。
正梅花、霜寒月白，斗回西柄。
自寿一觞花前醉，醉彩幡金胜。
笑儿辈、汾阳中令。
倚遍层楼干阑曲，慨乾坤、渺渺青云影。
无限事，尊前兴。"
张孝祥,"曾到蕲州不，人人说使君。
使君才具合经纶。
小试边城、早晚上星辰。
佳节重阳近，清歌午夜新。
举杯相属莫辞频。
後日相思、我已是行人。"
张抡,"动时思静暑思寒。
尘劳扰扰间。
翻云复雨百千般。
几时心地闲。
□□□，□□难。
将□□□然。
自然寒暑不相□。
□□□地仙。"
万俟咏,"簇真香。
似风前拆麝囊。
嫩紫轻红，间斗异芳。
风流富贵，自觉兰蕙荒。
独占蕊珠春光。
绣结流苏密织，魂梦悠扬。
气融液散满洞房。
朝寒料峭，娇不易当。
著意要得韩郎。"
周密,"桐阴薇影小阑干。
昼永琐窗闲。
当日清谭赌墅，风流犹记东山。
犀奁象局，惊回槐梦，飞雹生寒。
自有仙机活著，未应袖手旁观。"
刘辰翁,"西风坠绿。
唤起春娇，嫣然困倚修竹。
落帽人来，花艳乍惊郎目。
相思尚带旧子，甚凄凉、未妆束。
吟鬓底，伴寒香一朵，并簪黄菊。
却待金盘华屋。
园林静、多情怎禁幽独。
蛱蝶应愁，明日落红难触。
那堪雁霜渐重，怕黄昏、欲睡未足。
翠袖冷，且莫辞、花下秉烛。"
张孝祥,"伯鸾德耀贤夫妇，见说宜家。
见说宜家。
庭砌森森长玉华。
天公遣注长生籍，服日餐霞。
服日餐霞。
寿纪应须海算沙。"
程,"人道苍姬，燠多寒少，故教千岁绵绵。
算来春夏，一气本无偏。
底事今年玉历，秋未朔、风露泠然。
君知否，山深地僻，自是早霜天。
如今，当此去，十分亲切，面问婵娟。
何须看仙槎，海上重还。
好在金英玉屑，□为我、满泛金船。
仍传语，横江秀石，□永锁三川。"
晏殊,"忆得去年今日，黄花已满东篱。
曾与玉人临小槛，共折香英泛酒卮。
长条插鬓垂。
人貌不应迁换，珍丛又睹芳菲。
重把一尊寻旧径，所惜光阴去似飞。
风飘露冷时。"
赵长卿,"夕阳底尽，望楚天空阔，稀星帘幕。
暮霭横江烟万缕，照水参差楼阁。
两两三三，楼前归鹭，飞过栏干角。
霜风何事，绕檐吹动寂寞。
消散我已忘机，而今百念，灰了心头火。
对酒当歌浑冷淡，一任他懑嗔恶。
松竹园林，柳梧庭院，自有人间乐。
闲云休问，去来本是无著。"
郭应祥,"仙子凌波袜有尘。
翰林藻笔如神。
此花此曲两无伦。
不与妆台簪宝髻，却来书阁伴幽人。
恨无佳客只空尊。"
张辑,"孤鸿遥下夕阳寒。
秋清怀抱宽。
篱根香满菊金团。
客中邀客看。
呼浊酒，共清欢。
五弦随意弹。
西窗仍见好溪山。
几年谁倚栏。"
魏了翁,"无端嫁得龙头客。
富贵长相迫。
云深碧落记骖鸾。
又逐东方千骑、到人间。
妇前百拜儿称寿。
季也参行酒。
最怜小女太憨生。
约住两头娘子、索新声。"
张抡,"沙明波净小汀洲。
枫落洞庭秋。
红蓼白苹深处，晚风吹转船头。
鲈鱼钓得，银丝旋，白酒新。
一笑月寒烟暝，人间万事都休。"
吴儆,"斜阳波底湿微红。
朱栏翠袖倚轻风。
平平山色有无中。
俯首微官真自缚，高飞远举羡冥鸿。
何时一艇大江东。"
辛弃疾,"韵胜仙风缥缈。
的娇波宜笑。
串玉一声歌，占断多情风调。
清妙。
清妙。
留住飞云多少。"
王质,"标格风流前辈。
才瞥见春风，萧然无对。
只有月娥心不退。
依旧断桥，横在流水。
我亦共、月娥同意。
肯将情移在，粗红俗翠。
除丁香蔷薇酴外。
便作花王，不是此辈。"
晏几道,"槛花稀，池草遍。
冷落吹笙庭院。
人去日，燕西飞。
燕归人未归。
数书期，寻梦意。
弹指一年春事。
新怅望，旧悲凉。
不堪红日长。"
张炎,"笑铭崖笔倦，访雪舟寒，觅里寻邻。
半掩闲门草，看长松落荫，旧榻悬尘。
自怜此来何事，不为忆鲈莼。
但回首当年，芙蓉城里，胜友如云。
思君。
度遥夜，谩疑是梅花，檐下空巡。
蝶与周俱梦，折一枝聊寄，古意殊真。
渺然望极来雁，传与异乡春。
尚记得行歌，阳关西出无故人。"
魏了翁,"去岁玉堂山下住，母旁後弟前哥。
今年作县古松坡。
静参朱祭酒，间印马头陀。
去路更无山隔断，春风跋马经过。
不妨缓辔尽婆娑。
愿申临别语，长使得天多。"
吴文英,"大溪面。
遥望绣羽冲烟，锦棱飞练。
桃花三十六陂，鲛宫睡起，娇雷乍转。
去如箭。
催趁戏旗游鼓，素澜雪溅。
东风冷湿蛟腥，澹阴送昼，轻霏弄晚。
洲上青苹生处，斗春不管，怀沙人远。
残日半开一川，花影零乱。
山屏醉缬，连棹东西岸。
阑干倒、千红妆靥，铅香不断。
傍暝疏帘卷。
翠涟皱净，笙歌未散。
簪柳门归懒。
犹自有、玉龙黄昏吹怨。
重云暗阁，春霖一片。"
汪莘,"志可洞金石，气可塞堪舆。
问君所志安在，富贵胜人乎。
看取首阳二子，叩住孟津匹马，天讨不枝梧。
特立浮云外，大块可齐驱。
铁可折，玉可碎，海可枯。
不论穷达生死，直节贯殊途。
立处孤峰万仞，袖里青蛇三尺，用舍付河图。
汝阳阿上，濯汝洞庭河。"
黄裳,"雕栏闲倚，瑞雪霁、浣出人间金碧。
下想名园，芳心多少，欲占九州颜色。
洞开路入丹汉，自是神仙真宅。
寒吟外，看歌云舞雪，光阴难得。
谁共怀古意，东海一老，居易头垂白。
自此英雄，功名相继，空有寂寥遗迹。
圣贤电拂休笑，离合许多宾客。
使君乐与人同，且对云门斜日。"
管鉴,"乱花飞絮。
却是一年春好处。
留住韶光。
共醉蓬莱日月长。
翻阶红药。
天上东风传近约。
绿遍庭槐。
看取除书一并来。"
刘辰翁,"问海棠花下，又何如、玄都观中游。
叹巢蜀锦，常时不数，前度何稠。
谁见宣华故事，歌舞簇遨头。
共是西江水，不解西流。
在处繁华如梦，梦占人年少，生死堪羞。
任倾城倾国，风雨一春休。
醉逢君、何须有约，醉留君、系不住扁舟。
空又失，花前一笑，绿尽芳洲。"
林正大,"醉之乡、其去中国，不知其几千里。
其土平旷无涯际。
其气和平一揆。
无寒暑，无聚落居城，无怒而无喜。
昔黄帝氏。
仅获造其都，归而遂悟，结绳已非矣。
及尧舜，盖亦至其边鄙。
终身太平而治。
武王得志於周世。
命立酒人之氏。
从此後，独阮籍渊明，往往逃而至。
何其淳寂。
岂古华胥，将游是境，余故为之记。"
吕渭老,"裙长步渐迟，扇薄羞难掩。
鞋褪倚郎肩，问路眉先敛。
踏青南陌回，倚醉开娇靥。
今夜更同行，忍笑匀妆脸。"
万俟咏,"燕子飞来花在否，微雨退、掩重门。
正满院梨花雪照人。
独自个、怯黄昏。
轻风淡月总消魂。
罗衣暗惹啼痕。
谩觑著、秋千腰褪裙。
可是、不宜春。"
张,"船过柳湾亭曲。
万叶圆荷浮绿。
月照水珠明。
一池星。
光透玻璃香蒂。
梦入藕丝中戏。
却上小金台。
罢归来。"
张炎,"芙蓉城伴侣。
乍卸却单衣，茜罗重护。
傍水开时，细看来、浑似阮郎前度。
记得小楼，听一夜，江南春雨。
梦醒箫声，流水青苹，旧游何许。
谁翦层芳深贮。
便洗尽长安，半面尘土。
绝似桃根，带笑痕来伴，柳枝娇舞。
莫是孤村，试与问、酒家何处。
曾醉梢头双果，园林未暑。"
晁端礼,"数骑飞尘入凤城。
朔方诸部奏河清。
圜扉木索频年静，大晟箫韶九奏成。
流协气，溢欢声。
更将何事卜升平。
天颜不禁都人看，许近黄金辇路行。"
吕渭老,"云破月高悬，照我双双泪。
人在朱桥转曲西，翠幕重重闭。
要见索商量，见了还无计。
心似长檠一点灯，到晓清清地。"
